number,name,prompt
A-11,映画館,"A realistic movie theater interior, large cinema screen, rows of comfortable red seats, dark auditorium, soft aisle lights, cinematic atmosphere, wide viewing space, clean and modern theater design, subtle blue and warm lighting, quiet before the movie starts, realistic lighting, architectural interior photography style, highly detailed, high quality, "
A-12,体育館,"A highly detailed realistic Japanese school gymnasium, large rectangular indoor gym hall, glossy wooden parquet floor, clear court markings for basketball, volleyball and badminton, basketball hoops on both sides, stage with heavy curtains at the far end, wall bars, folded gym mats, storage carts, stacked folding chairs, score board, analog clock on the wall, speakers, emergency exit signs, high ceiling with exposed metal beams and trusses, rows of fluorescent lights, tall upper windows with soft daylight, white and pale beige interior walls, children wearing Japanese school PE uniforms exercising in the gym, white T-shirts, navy or red shorts, some children stretching, running, jumping, playing with balls, doing warm-up exercises, cheerful and energetic atmosphere, clean public school design, architectural interior photography, wide-angle composition, realistic lighting, highly detailed, realistic proportions, high quality,"
A-13,ゲームセンター,"A lively Japanese game center filled with entertainment machines, many car racing arcade cabinets arranged in rows, players sitting in racing seats holding steering wheels, large racing screens glowing brightly, many claw machines packed with plush toys, anime figures and colorful prizes, neon lights, LED displays, bright signs, colorful reflections on the glossy floor, rhythm games and shooting games in the background, cheerful crowded atmosphere, energetic Japanese arcade feeling, vibrant colors, realistic lighting, highly detailed, high quality, "
A-14,病院,"A realistic Japanese hospital reception lobby during daytime, bright clean interior with white and light gray walls, reception counter, orderly waiting chairs, ticket number display, information signs, large glass windows letting in natural light, a small part of an ambulance visible outside the window near the entrance, not centered, subtle background detail, doctors in white coats and nurses in medical uniforms walking through the lobby, hospital staff moving calmly, a few patients sitting quietly, indoor plants, polished floor, calm professional atmosphere, hygienic and modern hospital design, realistic lighting, wide-angle composition, highly detailed, high quality,"
A-15,交番,"A detailed realistic Japanese koban on a quiet urban street corner, compact police box building with white tile walls, light gray concrete details, large windows, glass entrance, blue “POLICE” style sign, red patrol lamp above the doorway, notice board with community safety posters, small awning, metal railings, bicycle parking space, vending machine nearby, utility poles, overhead wires, crosswalk and narrow street in front, a black and white Japanese patrol car parked beside the koban with red roof lights, two police officers in dark navy uniforms and caps, one officer standing near the entrance, another officer walking on the sidewalk, peaceful everyday Japanese neighborhood atmosphere, clean and realistic architectural exterior, natural daylight, wide-angle composition, highly detailed, high quality, 16:9"
A-16,消防署,"A detailed realistic Japanese fire station, modern public safety building with wide garage doors, many red Japanese fire trucks parked in a row, ladder truck with extended equipment, pump trucks, rescue vehicle, small emergency van, polished red vehicle bodies, chrome details, red light bars, firefighters in navy uniforms and helmets standing and walking around the vehicles, clean paved apron in front of the garage, white and light gray concrete exterior walls, large windows, training tower beside the station, hose drying tower, Japanese urban street nearby, utility poles and road markings, orderly and professional atmosphere, bright natural daylight, architectural exterior photography style, highly detailed, high quality, "
A-17,工場,"A realistic automobile factory interior, large car assembly line, partially assembled cars moving along a conveyor system, robotic arms welding and assembling car bodies, workers wearing safety helmets and uniforms, bright industrial lighting, clean organized production floor, metal structures, overhead rails, tools and machinery, modern manufacturing facility, efficient and high-tech atmosphere, realistic industrial photography style, highly detailed, high quality, "
A-18,ケーキ屋さん,"A realistic Japanese cake shop interior, elegant and cozy patisserie, glass display cases filled with beautiful cakes, strawberry shortcake, chocolate cake, fruit tart, cheesecake, roll cake, cream puffs and colorful pastries, warm lighting, clean white and light wood interior, small counter, menu board, cake boxes and ribbons, fresh flowers, friendly and inviting atmosphere, sweet and cheerful mood, realistic lighting, architectural interior photography style, highly detailed, high quality, "
A-19,ホテル,"A realistic luxury hotel suite room, spacious elegant bedroom, king-size bed with white linens, warm indirect lighting, large floor-to-ceiling windows with city view, marble bathroom visible through glass partition, comfortable sofa, wooden furniture, refined beige and gold color palette, calm and luxurious atmosphere, five-star hotel interior design, highly detailed, realistic lighting, high quality, "
A-20,コンビニ,"A realistic Japanese convenience store interior, bright and clean retail space, neatly arranged shelves filled with snacks, drinks, instant noodles, bento boxes, rice balls, sandwiches, desserts and daily goods, refrigerated drink cases along the wall, hot food counter near the cashier, checkout counter with cash register, self-checkout machine, magazine corner, clear aisle layout, fluorescent ceiling lights, everyday Japanese convenience store atmosphere, highly detailed, realistic lighting, high quality, "
A-21,農園,"A peaceful Japanese countryside farm, green rice paddies spreading across the landscape, vegetable fields beside the paddies, small farmhouse, vinyl greenhouse, irrigation canals, narrow rural roads, utility poles, distant mountains, soft clouds, bright summer sunlight, calm and nostalgic rural atmosphere, realistic photography style, highly detailed, high quality,"
A-22,バス停,"A realistic Japanese neighborhood bus stop, small bus stop sign with timetable and route map, narrow sidewalk, white road lane markings, low houses and apartment buildings nearby, utility poles, overhead wires, vending machine, bicycle parked near the stop, simple bench, no large shelter, a few passengers waiting calmly, quiet residential street atmosphere, soft daytime sunlight, everyday Japanese suburban scenery, realistic lighting, highly detailed, high quality, "
A-23,美術館,"A realistic Japanese art museum interior, clean and quiet exhibition gallery, white walls, natural wood and concrete materials, large framed artworks displayed with generous spacing, sculptures on simple pedestals, soft indirect lighting and track lights, a few visitors walking quietly, museum information panels, calm refined atmosphere, minimal contemporary Japanese design, spacious layout, realistic lighting, architectural interior photography style, highly detailed, high quality, "
A-24,会社,"A realistic Japanese company office interior, modern open-plan office, rows of desks with computers and office chairs, meeting rooms with glass partitions, employees working calmly, clean and organized workspace, white and light gray walls, natural wood accents, bright ceiling lights, large windows with city view, plants, filing cabinets, printers, professional business atmosphere, realistic lighting, architectural interior photography style, highly detailed, high quality, "
A-25,スタジアム,"A realistic soccer stadium, large green soccer pitch, white field lines, goals at both ends, massive spectator stands surrounding the field, bright stadium lights, modern roof structure, players warming up on the pitch, fans sitting in the stands, energetic sports atmosphere, clear blue sky, realistic architectural sports photography style, wide-angle composition, highly detailed, high quality, "
A-26,展望台,"A realistic observation deck, high viewpoint overlooking a vast city skyline, glass safety railings, wide viewing platform, people looking at the scenery, coin-operated binoculars, clear blue sky, distant mountains and buildings, strong sense of height and openness, bright natural daylight, calm and inspiring atmosphere, architectural photography style, highly detailed, high quality, "
A-27,銀行,"A realistic Japanese bank reception counter interior, clean and professional banking lobby, long reception counter with glass partitions, bank staff wearing formal uniforms assisting customers, numbered ticket machine near the entrance, digital queue display board, waiting chairs arranged neatly, information desk, brochure stands, ATM corner in the background, white and light gray walls, polished floor, bright fluorescent ceiling lights, calm and trustworthy atmosphere, organized financial institution interior, realistic lighting, architectural interior photography style, highly detailed, high quality,"
A-28,空港,"A realistic airport boarding gate area, large windows overlooking the runway, passenger seats arranged in rows, boarding counter, flight information display, passengers waiting with carry-on luggage, airplane visible outside the window connected to the jet bridge, ground service vehicles on the apron, soft daylight, calm travel atmosphere, clean modern airport design, realistic lighting, architectural photography style, highly detailed, high quality, "
A-29,本屋さん,"A realistic large Japanese bookstore interior, spacious retail floor, long rows of tall bookshelves, many books organized by category, magazine section, manga section, business books, literature, travel guides and children's books, large display tables with new releases, clear aisle signs, cashier counters, customers browsing quietly, bright clean lighting, modern commercial bookstore atmosphere, highly detailed, realistic lighting, high quality, "
A-30,宇宙ステーション,"A breathtaking view from a space station observation module, large panoramic window looking down at Earth, blue planet with clouds and atmosphere visible below, astronauts floating quietly inside, control panels and handrails around the window, deep space and stars outside, peaceful and awe-inspiring atmosphere, realistic sci-fi photography style, cinematic wide-angle composition, highly detailed, high quality, "
,,
B-01,東京タワー,"red and white painted steel lattice frame facade, exposed steel truss structure, industrial lattice exterior, diagonal steel members, vermilion and white painted structural frame, glass infill panels between lattice frames,"
B-02,東京ドーム,"large white ribbed dome roof, oval stadium volume, smooth curved roof surface, radial roof seams, low circular base, urban sports arena silhouette,"
B-03,スカイツリー,"slender white broadcasting tower, tapered cylindrical shaft, exposed steel lattice structure, triangular structural base, stacked observation decks, pale blue evening lighting,"
B-04,宮下公園,"layered urban park structure, long elevated green terrace, planted roof deck, stepped landscape paths, glass and metal retail facade, greenery integrated into city infrastructure,"
B-05,,"massive silver arena volume, horizontal ribbed metal facade, aerodynamic curved exterior, large cantilevered roof edge, glass entrance base, futuristic sports venue form,"
B-06,迎賓館,"low horizontal wooden architecture, deep overhanging eaves, calm timber facade, traditional garden pond reflection, light stone walls, refined Japanese palace exterior,"
B-07,成田空港,"long low airport terminal roof, sweeping curved metal roof, linear skylight strips, aerodynamic horizontal form, silver industrial cladding, expansive runway-side building,"
B-08,,"tall glass office tower, vertical curtain wall facade, mixed-use podium base, reflective blue-green glazing, stepped urban plaza, high-rise landmark composition,"
B-09,グラングリーン,"contemporary urban green plaza, terraced park landscape, glass towers around open lawn, curved white canopy, dense planting, city park integrated with high-rise buildings,"
B-10,ハット町田,"small conical roof pavilion, warm copper-toned shingle exterior, narrow vertical wooden cladding, hat-like silhouette, compact urban object, playful landmark form,"
B-11,ヒカリエ,"tall tower with layered glass facade, vertical fins, warm illuminated podium, stacked urban volumes, transparent retail base, high-density city high-rise,"
B-12,ダイヤゲート,"diagonal steel brace facade, diamond-shaped exterior frame, blue glass curtain wall, slanted structural grid, elevated railway-side tower, dynamic geometric envelope,"
B-13,,"calm hospital building facade, soft beige horizontal bands, gentle curved balcony lines, warm institutional exterior, landscaped open lawn, low-rise healthcare architecture,"
B-14,,"enormous railway station roof, sweeping white curved canopy, layered horizontal platforms, glowing linear facade, large-span transit architecture, vast urban terminal volume,"
B-15,,"rounded timber and concrete storefront, soft cylindrical corner forms, warm wooden soffit, playful low-rise commercial facade, sculptural canopy edge,"
B-16,東京プラザ銀座,"deep blue glass facade, sharp vertical fins, faceted corner volume, illuminated retail frontage, glossy urban exterior, layered commercial building skin,"
B-17,WOVENCITY,"futuristic compact city blocks, gridded street layout, low-rise modular buildings, circular central plaza, rooftop greenery, integrated mobility-oriented urban fabric,"
B-18,有明体操競技場,"long timber stadium roof, warm wooden exterior, rhythmic structural frames, low horizontal sports arena, deep eaves, natural material expression,"
B-19,,"elegant curved glass tower, vertical silver fins, layered podium volume, transparent atrium base, refined high-rise silhouette, urban theatre-like exterior,"
B-20,京都リッツカールトン,"low riverside luxury building, horizontal timber louvers, dark tiled rooflines, calm stone facade, garden-facing balconies, refined waterside architecture,"
B-21,ホキ美術館,"black cantilevered gallery volume, elongated concrete wall, sharp rectangular overhang, minimal sculptural facade, reflective glass base, floating linear museum form,"
B-22,上海中心,"tall blue glass tower, sharp triangular crown, vertical illuminated edges, smooth reflective curtain wall, slender high-rise silhouette, crystalline office tower form,"
B-23,広州図書館,"white folded stone facade, angular zigzag openings, twin tower-like library volumes, deep vertical voids, geometric civic architecture, sculptural urban facade,"
B-24,One'za abeel,"twin high-rise towers, skybridge-like horizontal volume, reflective glass curtain wall, bold diagonal mega-frame, dramatic elevated connection, futuristic mixed-use skyline,"
B-25,金谷ホテル,"historic wooden hotel facade, white plaster walls with dark timber trim, gabled rooflines, colonial-style veranda, traditional resort architecture, lush greenery setting,"
B-26,グランルーフ,"long white station canopy, flowing membrane-like roof, slender steel columns, glass high-rise backdrop, linear urban transit gateway, bright pedestrian plaza,"
B-27,,"tall faceted glass tower, sharp vertical high-rise silhouette, reflective curtain wall, crystalline facade geometry, dense urban crossing base, layered sky lobby volume,"
B-28,カンプノウ,"large oval stadium bowl, glowing red seating ring, open roof structure, layered grandstand facade, illuminated sports arena, monumental circular venue form,"
B-29,W350,"tall timber hybrid tower, exposed wooden grid facade, stacked green balconies, modular high-rise frame, warm natural material exterior, vertical forest architecture,"
B-30,,"curved glass and metal museum facade, sloping wall plane, exposed structural ribs, futuristic civic building, transparent atrium surface, silver industrial exterior,"
,,
C-01,朝,"morning scene in Tokyo, soft early morning sunlight, warm golden hour light, urban Tokyo neighborhood, surrounding mid-rise buildings, street trees, schoolyard, morning city atmosphere, pedestrians and students walking, clear sky,"
C-02,夜,"A cinematic photorealistic night view of Tokyo, Japan. A calm urban atmosphere with modern high-rise buildings and narrow city streets. Warm light softly spilling from the windows of buildings, creating a cozy contrast against the deep blue night. A clear starry sky with a bright full moon above the skyline. Subtle reflections on glass facades and wet pavement, soft ambient city glow, elegant composition, realistic lighting, highly detailed, atmospheric, 35mm photography, wide angle, no text."
C-03,夕焼け,"A nostalgic Japanese summer evening at sunset, photorealistic and cinematic. Dragonflies flying across a glowing orange sky, warm sunlight fading behind distant hills, tall grasses swaying gently in the breeze, rice fields reflecting the sunset colors. Peaceful rural atmosphere, soft golden hour lighting, delicate silhouettes, subtle haze, highly detailed natural textures, poetic composition, realistic photography, no buildings, no text, no logos."
C-04,晴れ,"A clean and refreshing summer sky image, photorealistic and minimal. A cloudless deep blue sky stretching endlessly, with a few birds flying freely in the distance. Bright natural sunlight, crisp clear atmosphere, elegant negative space, vivid but realistic blue color, peaceful summer mood, high-resolution photography, no clouds, no buildings, no text, no logos."
C-05,曇り,"A cinematic photorealistic view of the Tokyo sky just before heavy rain. Dark gray storm clouds covering the city, dramatic overcast atmosphere, soft but tense lighting, Tokyo skyline below with modern high-rise buildings, distant city haze, humid summer air, subtle wind movement, realistic cloud texture, moody urban scene, highly detailed, 35mm photography, wide angle, no text."
C-06,雪,"A photorealistic winter city scene with snow falling heavily and accumulating on streets, sidewalks, rooftops, and building ledges. Cold air, quiet urban atmosphere, soft white snow covering the city, pale gray overcast sky, subtle reflections on wet snowy pavement, realistic snowfall, muted colors, cinematic lighting, highly detailed, wide-angle photography, no cars, no text, no watermark."
C-07,夏,"A cinematic photorealistic scene of a hot summer day under intense sunlight. Bright sun pouring down from a clear blue sky, strong summer light, sharp shadows on the ground, shimmering heat haze in the air, vibrant green trees, dry pavement, warm golden highlights, realistic lighting, high detail, 35mm photography, fresh but scorching summer atmosphere, no text."
C-08,冬,"A cinematic photorealistic winter scene on a cold day as snow has just begun to fall. Light snowflakes drifting through the air, a pale gray winter sky, cold quiet atmosphere, the ground and rooftops only slightly dusted with fresh snow, soft diffused light, muted winter colors, realistic snowfall, delicate frost details, peaceful and serene mood, highly detailed, 35mm photography, no people, no text."
C-09,手描き,"A hand-drawn colored pencil illustration, soft and warm texture, visible pencil strokes, gentle shading, slightly uneven handmade lines, natural paper grain, delicate pastel colors, cozy and nostalgic atmosphere, simple composition, high detail, no text, no logo, no watermark."
C-10,未来,"A cinematic photorealistic futuristic cityscape. Sleek high-rise towers with advanced architecture, glowing windows and neon accents, flying cars moving between buildings, large elegant airships floating above the skyline, elevated sky roads, clean urban design, soft atmospheric haze, dynamic depth, realistic lighting, highly detailed, wide-angle photography, epic scale, optimistic future atmosphere, no text, no logos."
C-11,クレヨン,"A hand-drawn crayon illustration style, warm and playful texture, visible crayon strokes, rough handmade lines, soft uneven coloring, natural paper grain, childlike but charming expression, gentle pastel colors, cozy and nostalgic atmosphere, simple composition, high detail, no text, no logo, no watermark."
C-12,写真,"A highly photorealistic image, like a real photograph. Natural lighting, realistic shadows, accurate perspective, detailed textures, realistic colors, subtle depth of field, fine details, sharp focus, professional photography, 35mm lens, high-resolution, cinematic composition, no text, no logo, no watermark."
C-13,アニメ,"Anime-style illustration, clean and expressive line art, vibrant colors, soft cel shading, detailed eyes, smooth character design, dynamic composition, polished digital anime art, cinematic lighting, beautiful color balance, high detail, no text, no logo, no watermark."
C-14,和風,"A cinematic photorealistic Japanese traditional style scene. A serene tatami room inside a traditional Japanese house, with shoji screens, wooden beams, fusuma sliding doors, and soft natural light entering from the garden. Outside, a beautiful Japanese garden with moss, stone lanterns, stepping stones, maple trees, and a small pond. Calm and elegant atmosphere, refined wabi-sabi aesthetics, natural materials, realistic lighting, highly detailed, architectural photography, wide-angle composition, no text, no logos."
C-15,かわいい,"A super cute and charming visual style inspired by sweets, toys, and flowers. Soft pastel colors, candy-like color palette, gentle pink, cream, lavender, mint green, and baby blue tones. Cute rounded shapes, fluffy textures, tiny flowers, colorful candies, toy-like decorative elements, warm and happy atmosphere, soft lighting, dreamy composition, playful and innocent mood, high detail,no text, no logo, no watermark."
C-16,都会,"A photorealistic Tokyo-like metropolitan cityscape with dense high-rise buildings and cars moving through busy streets. Modern glass towers, wide avenues, traffic lights, road markings, taxis and private cars, reflections on glass facades, realistic urban details, clean architectural composition, dynamic city energy, natural daylight, subtle atmospheric haze, high detail, wide-angle professional photography, no text, no logos, no watermark."
C-17,田舎,"A cinematic photorealistic Japanese countryside landscape. Expansive green rice fields stretching into the distance, narrow earthen paths between the paddies, gentle rural atmosphere, small traditional houses in the background, distant low mountains, soft natural sunlight, fresh summer air, subtle breeze moving the rice plants, realistic water reflections in the paddies, peaceful and nostalgic mood, highly detailed, 35mm photography, wide-angle composition, no people, no text, no logos, no watermark."
C-18,自然,"A cinematic photorealistic scene from inside a natural forest. Tall trees surrounding the viewer, lush green leaves, soft sunlight filtering through the canopy, moss-covered ground, ferns and wild plants, gentle forest mist, calm and quiet atmosphere, fresh air, natural textures, realistic lighting, highly detailed, 35mm photography, immersive composition, peaceful and healing mood, no people, no text, no logos, no watermark."
C-19,海の中,"A cinematic photorealistic underwater scene in a vast clear ocean. Colorful coral reefs spread across the seafloor, many tropical fish swimming in groups, sunlight rays shining through the blue water from above, gentle water movement, vibrant marine life, realistic coral textures, crystal-clear visibility, deep ocean depth, peaceful and immersive atmosphere, highly detailed, wide-angle underwater photography, natural colors, no text, no logos, no watermark."
C-20,夏休み,"A nostalgic Japanese summer vacation scene, cinematic and photorealistic. A bright seaside landscape with blue ocean and sandy beach, sunflowers blooming in the foreground, a sliced watermelon on a picnic mat, a straw hat resting nearby, a rhinoceros beetle on a tree branch, and colorful fireworks lighting up the evening sky in the distance. Warm summer atmosphere, joyful and nostalgic mood, soft golden light, vivid but natural colors, detailed textures, balanced composition, high detail, 35mm photography, no text, no logos, no watermark."
C-21,お祭り,"A cinematic photorealistic Japanese summer festival at night, lively and nostalgic. A traditional festival street lined with many food stalls, warm glowing paper lanterns, colorful noren curtains, and festival banners. Detailed yatai stalls selling takoyaki, yakisoba, grilled corn, cotton candy, shaved ice, candied apples, goldfish scooping, and festival masks. In the center, people in yukata are dancing Bon Odori around a wooden yagura tower, with taiko drums, lanterns, and traditional music atmosphere. Children holding fans, families walking through the festival, soft warm light reflecting on the street, summer evening haze, joyful crowd, nostalgic Japanese atmosphere, highly detailed, realistic lighting, 35mm photography, wide-angle composition, no text, no logos, no watermark."
C-22,楽しい,"A joyful and energetic scene with an atmosphere so fun that everything feels like it is about to start dancing. Bright cheerful colors, lively movement, playful rhythm, sparkling lights, smiling mood, dynamic composition, warm sunlight, colorful decorations, floating confetti, soft motion blur, happy festival-like energy, uplifting and positive atmosphere, highly detailed, cinematic lighting, no text, no logos, no watermark."
C-23,嬉しい,"A bright and joyful celebration scene expressing happiness after receiving a gift. Warm cheerful atmosphere, beautifully wrapped present box with ribbons, sparkling lights, colorful balloons, confetti, flowers, soft pastel colors, golden highlights, happy and heartwarming mood, festive decorations, gentle glow, clean and charming composition, highly detailed, cinematic lighting, no text, no logos, no watermark."
C-24,おばけ,"A spooky and atmospheric night scene with simple ghosts flying through the sky. The ghosts look like classic white cloth ghosts with two black eyes, cute but slightly eerie. A dark blue night sky, pale moonlight, drifting fog, old trees, soft shadows, mysterious haunted atmosphere, gentle wind, subtle glowing edges around the ghosts, cinematic lighting, highly detailed, whimsical horror mood, no text, no logos, no watermark."
C-25,面白い,"A whimsical surreal city street festival, funny and playful atmosphere, impossible objects flying in the sky such as umbrellas, teacups, bicycles, pumpkins, fish-shaped balloons and tiny houses, people walking on the street wearing various Halloween-like costumes, witches, ghosts, robots, animals, vampires, astronauts and funny monsters, a tall giraffe-shaped building standing among normal buildings, long neck, spotted facade, windows like giraffe patterns, colorful urban landscape, lively crowd, joyful chaos, fantasy realism, cinematic wide-angle composition, rich details, vibrant colors, soft afternoon light, slightly magical atmosphere, high quality, highly detailed, imaginative, humorous, dreamlike, "
C-26,シーっ！,"A quiet empty Japanese residential street in the early morning, no people, no cars, complete silence, narrow road, small houses, utility poles, closed shutters, soft mist, pale morning light, still air, calm and lonely atmosphere, subtle details, muted colors, cinematic composition, realistic lighting, peaceful solitude, highly detailed, high quality, "
C-27,明るい,"A bright and hopeful futuristic city at sunrise, clean sustainable architecture, glass buildings reflecting golden light, green terraces, trees and gardens integrated into the city, open public spaces, clear blue sky, soft sunlight, calm and optimistic atmosphere, feeling that a wonderful future is waiting, cinematic wide shot, elegant design, vibrant but natural colors, highly detailed, high quality, dreamlike realism, "
C-28,宇宙,"A dreamlike cosmic landscape, feeling as if standing in outer space, Earth shining beautifully below, multiple planets of different colors and sizes floating around, Saturn-like rings, distant moons, glowing nebulae, sparkling star field, deep blue and violet universe, soft cosmic light, magical and mysterious atmosphere, immersive perspective, awe-inspiring scale, cinematic composition, highly detailed, high quality, fantasy realism, "
C-29,カラフル,"A super colorful pop-art inspired world, energetic and cheerful mood, vivid rainbow palette, bright pink, yellow, blue, green and orange colors, playful shapes, colorful streets, cute buildings, floating balloons, confetti, flowers, smiling people, lively festival-like atmosphere, fun and positive energy, bold composition, clean lighting, highly detailed, high quality, joyful, "
C-30,高い,"An extreme high-angle view from the edge of a skyscraper rooftop, looking straight down at the city far below, strong sense of height and scale, tiny cars and people on the streets, deep vertical perspective, dramatic urban canyon, glass buildings reflecting sunlight, thrilling but beautiful atmosphere, cinematic wide shot, ultra detailed, realistic lighting, high quality, "
